prefix,base
rdf,http://www.w3.org/1999/02/22-rdf-syntax-ns#
rdfs,http://www.w3.org/2000/01/rdf-schema#
xsd,http://www.w3.org/2001/XMLSchema#
owl,http://www.w3.org/2002/07/owl#
oio,http://www.geneontology.org/formats/oboInOwl#
dce,http://purl.org/dc/elements/1.1/
dct,http://purl.org/dc/terms/
foaf,http://xmlns.com/foaf/0.1/
protege,http://protege.stanford.edu/plugins/owl/protege#
skos,http://www.w3.org/2004/02/skos/core#
ex,http://example.com/
obo,http://purl.obolibrary.org/obo/
gocam,http://model.geneontology.org/
UP,http://purl.uniprot.org/uniprot/
UC,http://purl.uniprot.org/core/
PRO,http://www.uniprot.org/annotation/PRO_
faldo,http://biohackathon.org/resource/faldo#
ONTIE,https://ontology.iedb.org/ontology/ONTIE_
IEDB,http://iedb.org/
iedb-protein,http://iedb.org/taxon-protein/
CoVIC,https://cvdb.ontodev.com/antibody/
EXAMPLE,http://purl.obolibrary.org/obo/EXAMPLE_
a,http://example.org/a/
x,http://example.org/x/
y,http://example.org/y/
z,http://example.org/z/
RO,http://purl.obolibrary.org/obo/RO_
CHEMINF,http://purl.obolibrary.org/obo/CHEMINF_
RS,http://purl.obolibrary.org/obo/RS_
CHIRO,http://purl.obolibrary.org/obo/CHIRO_
RXNO,http://purl.obolibrary.org/obo/RXNO_
CHMO,http://purl.obolibrary.org/obo/CHMO_
SEPIO,http://purl.obolibrary.org/obo/SEPIO_
CIDO,http://purl.obolibrary.org/obo/CIDO_
PSO,http://purl.obolibrary.org/obo/PSO_
PW,http://purl.obolibrary.org/obo/PW_
CDAO,http://purl.obolibrary.org/obo/CDAO_
RBO,http://purl.obolibrary.org/obo/RBO_
CDNO,http://purl.obolibrary.org/obo/CDNO_
SO,http://purl.obolibrary.org/obo/SO_
CIO,http://purl.obolibrary.org/obo/CIO_
SPD,http://purl.obolibrary.org/obo/SPD_
CL,http://purl.obolibrary.org/obo/CL_
STATO,http://purl.obolibrary.org/obo/STATO_
CLAO,http://purl.obolibrary.org/obo/CLAO_
CLO,http://purl.obolibrary.org/obo/CLO_
CRO,http://purl.obolibrary.org/obo/CRO_
CTENO,http://purl.obolibrary.org/obo/CTENO_
CTO,http://purl.obolibrary.org/obo/CTO_
CVDO,http://purl.obolibrary.org/obo/CVDO_
CLYH,http://purl.obolibrary.org/obo/CLYH_
CMO,http://purl.obolibrary.org/obo/CMO_
COB,http://purl.obolibrary.org/obo/COB_
DDANAT,http://purl.obolibrary.org/obo/DDANAT_
DDPHENO,http://purl.obolibrary.org/obo/DDPHENO_
DIDEO,http://purl.obolibrary.org/obo/DIDEO_
ECO,http://purl.obolibrary.org/obo/ECO_
ECOCORE,http://purl.obolibrary.org/obo/ECOCORE_
ECTO,http://purl.obolibrary.org/obo/ECTO_
EMAPA,http://purl.obolibrary.org/obo/EMAPA_
FBcv,http://purl.obolibrary.org/obo/FBcv_
DRON,http://purl.obolibrary.org/obo/DRON_
DUO,http://purl.obolibrary.org/obo/DUO_
ECAO,http://purl.obolibrary.org/obo/ECAO_
ENVO,http://purl.obolibrary.org/obo/ENVO_
EUPATH,http://purl.obolibrary.org/obo/EUPATH_
SYMP,http://purl.obolibrary.org/obo/SYMP_
TAXRANK,http://purl.obolibrary.org/obo/TAXRANK_
TO,http://purl.obolibrary.org/obo/TO_
TRANS,http://purl.obolibrary.org/obo/TRANS_
SWO,http://purl.obolibrary.org/obo/SWO_
WBbt,http://purl.obolibrary.org/obo/WBbt_
WBls,http://purl.obolibrary.org/obo/WBls_
WBPhenotype,http://purl.obolibrary.org/obo/WBPhenotype_
XCO,http://purl.obolibrary.org/obo/XCO_
VT,http://purl.obolibrary.org/obo/VT_
VTO,http://purl.obolibrary.org/obo/VTO_
VO,http://purl.obolibrary.org/obo/VO_
TTO,http://purl.obolibrary.org/obo/TTO_
UBERON,http://purl.obolibrary.org/obo/UBERON_
UO,http://purl.obolibrary.org/obo/UO_
UPHENO,http://purl.obolibrary.org/obo/UPHENO_
HP,http://purl.obolibrary.org/obo/HP_
FBbi,http://purl.obolibrary.org/obo/FBbi_
KISAO,http://purl.obolibrary.org/obo/KISAO_
FBbt,http://purl.obolibrary.org/obo/FBbt_
MAMO,http://purl.obolibrary.org/obo/MAMO_
FBcv,http://purl.obolibrary.org/obo/FBcv_
SBO,http://purl.obolibrary.org/obo/SBO_
FBdv,http://purl.obolibrary.org/obo/FBdv_
ZP,http://purl.obolibrary.org/obo/ZP_
FOBI,http://purl.obolibrary.org/obo/FOBI_
ExO,http://purl.obolibrary.org/obo/ExO_
GSSO,http://purl.obolibrary.org/obo/GSSO_
FAO,http://purl.obolibrary.org/obo/FAO_
XLMOD,http://purl.obolibrary.org/obo/XLMOD_
XPO,http://purl.obolibrary.org/obo/XPO_
ZECO,http://purl.obolibrary.org/obo/ZECO_
ZFS,http://purl.obolibrary.org/obo/ZFS_
CEPH,http://purl.obolibrary.org/obo/CEPH_
GECKO,http://purl.obolibrary.org/obo/GECKO_
EHDAA2,http://purl.obolibrary.org/obo/EHDAA2_
GENEPIO,http://purl.obolibrary.org/obo/GENEPIO_
RNAO,http://purl.obolibrary.org/obo/RNAO_
GENO,http://purl.obolibrary.org/obo/GENO_
UPA,http://purl.obolibrary.org/obo/UPA_
GEO,http://purl.obolibrary.org/obo/GEO_
FIX,http://purl.obolibrary.org/obo/FIX_
VARIO,http://purl.obolibrary.org/obo/VARIO_
FOVT,http://purl.obolibrary.org/obo/FOVT_
OGI,http://purl.obolibrary.org/obo/OGI_
FYPO,http://purl.obolibrary.org/obo/FYPO_
REX,http://purl.obolibrary.org/obo/REX_
GAZ,http://purl.obolibrary.org/obo/GAZ_
SCDO,http://purl.obolibrary.org/obo/SCDO_
FIDEO,http://purl.obolibrary.org/obo/FIDEO_
TXPO,http://purl.obolibrary.org/obo/TXPO_
FLOPO,http://purl.obolibrary.org/obo/FLOPO_
SIBO,http://purl.obolibrary.org/obo/SIBO_
FMA,http://purl.obolibrary.org/obo/FMA_
FOODON,http://purl.obolibrary.org/obo/FOODON_
IDOMAL,http://purl.obolibrary.org/obo/IDOMAL_
IAO,http://purl.obolibrary.org/obo/IAO_
ICEO,http://purl.obolibrary.org/obo/ICEO_
ICO,http://purl.obolibrary.org/obo/ICO_
IDO,http://purl.obolibrary.org/obo/IDO_
MIRO,http://purl.obolibrary.org/obo/MIRO_
HOM,http://purl.obolibrary.org/obo/HOM_
TADS,http://purl.obolibrary.org/obo/TADS_
HsapDv,http://purl.obolibrary.org/obo/HsapDv_
TGMA,http://purl.obolibrary.org/obo/TGMA_
HSO,http://purl.obolibrary.org/obo/HSO_
HTN,http://purl.obolibrary.org/obo/HTN_
CMF,http://purl.obolibrary.org/obo/CMF_
GNO,http://purl.obolibrary.org/obo/GNO_
ERO,http://purl.obolibrary.org/obo/ERO_
HANCESTRO,http://purl.obolibrary.org/obo/HANCESTRO_
HAO,http://purl.obolibrary.org/obo/HAO_
MA,http://purl.obolibrary.org/obo/MA_
MFOEM,http://purl.obolibrary.org/obo/MFOEM_
MFOMD,http://purl.obolibrary.org/obo/MFOMD_
MI,http://purl.obolibrary.org/obo/MI_
MIAPA,http://purl.obolibrary.org/obo/MIAPA_
MAXO,http://purl.obolibrary.org/obo/MAXO_
MCO,http://purl.obolibrary.org/obo/MCO_
MF,http://purl.obolibrary.org/obo/MF_
MFMO,http://purl.obolibrary.org/obo/MFMO_
INO,http://purl.obolibrary.org/obo/INO_
LABO,http://purl.obolibrary.org/obo/LABO_
MMO,http://purl.obolibrary.org/obo/MMO_
MmusDv,http://purl.obolibrary.org/obo/MmusDv_
MPATH,http://purl.obolibrary.org/obo/MPATH_
MPIO,http://purl.obolibrary.org/obo/MPIO_
MRO,http://purl.obolibrary.org/obo/MRO_
MS,http://purl.obolibrary.org/obo/MS_
MOD,http://purl.obolibrary.org/obo/MOD_
MONDO,http://purl.obolibrary.org/obo/MONDO_
MOP,http://purl.obolibrary.org/obo/MOP_
MP,http://purl.obolibrary.org/obo/MP_
MICRO,http://purl.obolibrary.org/obo/MICRO_
NBO,http://purl.obolibrary.org/obo/NBO_
NCBITaxon,http://purl.obolibrary.org/obo/NCBITaxon_
NCIT,http://purl.obolibrary.org/obo/NCIT_
OBA,http://purl.obolibrary.org/obo/OBA_
OBCS,http://purl.obolibrary.org/obo/OBCS_
OBIB,http://purl.obolibrary.org/obo/OBIB_
