prefix,base
rdf,http://www.w3.org/1999/02/22-rdf-syntax-ns#
rdfs,http://www.w3.org/2000/01/rdf-schema#
xsd,http://www.w3.org/2001/XMLSchema#
owl,http://www.w3.org/2002/07/owl#
oio,http://www.geneontology.org/formats/oboInOwl#
dce,http://purl.org/dc/elements/1.1/
dcterms,http://purl.org/dc/terms/
foaf,http://xmlns.com/foaf/0.1/
protege,http://protege.stanford.edu/plugins/owl/protege#
skos,http://www.w3.org/2004/02/skos/core#
dbpedia,http://dbpedia.org/resource/
ex,http://example.org/
ex2,https://example.org/
obo,http://purl.obolibrary.org/obo/
gocam,http://model.geneontology.org/
EDAM,http://edamontology.org/
EFO,http://www.ebi.ac.uk/efo/EFO_
ORDO,http://www.orpha.net/ORDO/Orphanet_
UP,http://purl.uniprot.org/uniprot/
UC,http://purl.uniprot.org/core/
PRO,http://www.uniprot.org/annotation/PRO_
faldo,http://biohackathon.org/resource/faldo#
ONTIE,https://ontology.iedb.org/ontology/ONTIE_
IEDB,http://iedb.org/
iedb-protein,http://iedb.org/taxon-protein/
CoVIC,https://cvdb.ontodev.com/antibody/
EXAMPLE,http://purl.obolibrary.org/obo/EXAMPLE_
ENM,http://purl.enanomapper.org/onto/ENM_
BAO,http://www.bioassayontology.org/bao#BAO_
biopax,http://www.biopax.org/release/biopax-level3.owl#
reactome.biopax,http://www.reactome.org/biopax/81/48887#
sweet,http://sweetontology.net/
qudt,http://qudt.org/schema/qudt#
allotrope.property,http://purl.allotrope.org/ontologies/property#
allotrope.role,http://purl.allotrope.org/ontologies/role#
allotrope.equipment,http://purl.allotrope.org/ontologies/equipment#
allotrope,http://purl.allotrope.org/ontologies/
aio,https://w3id.org/aio/
NPO,http://purl.bioontology.org/ontology/npo#NPO_
CHEMINF,http://semanticscience.org/resource/CHEMINF_
aopkb,http://aopkb.org/aop_ontology#
ENM.net,http://purl.enanomapper.net/onto/ENM_
cito,http://purl.org/spar/cito/
fabio,http://purl.org/spar/fabio/
SIO,http://semanticscience.org/resource/SIO_
doap,http://usefulinc.com/ns/doap#
wikidata,http://www.wikidata.org/entity/
schema,https://schema.org/
ICD10CM,http://purl.bioontology.org/ontology/ICD10CM/
snomedct,http://snomed.info/id/
cc,http://creativecommons.org/licenses/
HGNC,http://identifiers.org/hgnc/
MEDDRA,http://identifiers.org/meddra/
MESH,http://identifiers.org/mesh/
MEDGEN,http://identifiers.org/medgen/
SCTID,http://identifiers.org/snomedct/
UMLS,http://linkedlifedata.com/resource/umls/id/
orcid,https://orcid.org/
swrl,http://www.w3.org/2003/11/swrl#
semapv,https://w3id.org/semapv/vocab/
sssom,https://w3id.org/sssom/
CLINGEN,https://www.clinicalgenome.org/affiliation/
