prefix,base
SWO,http://www.ebi.ac.uk/swo/SWO_
SWO.organization,http://www.ebi.ac.uk/swo/organization/SWO_
SWO.maturity,http://www.ebi.ac.uk/swo/maturity/SWO_
SWO.objective,http://www.ebi.ac.uk/swo/objective/SWO_
SWO.license,http://www.ebi.ac.uk/swo/license/SWO_
SWO.version,http://www.ebi.ac.uk/swo/version/SWO_
SWO.data,http://www.ebi.ac.uk/swo/data/SWO_
SWO.interface,http://www.ebi.ac.uk/swo/interface/SWO_
SWO.algorithm,http://www.ebi.ac.uk/swo/algorithm/SWO_
OntoDM,http://www.ontodm.com/OntoDM-core/OntoDM_
OntoDM.kdd,http://kt.ijs.si/panovp/OntoDM#OntoDM-KDD
PCL,http://purl.obolibrary.org/obo/PCL_
ENSEMBL,http://identifiers.org/ensembl/
chemrof,https://w3id.org/chemrof/
OGCO,http://purl.obolibrary.org/obo/OGCO_
FMA,http://purl.org/sig/ont/fma/fma
MSIO,http://purl.obolibrary.org/obo/MSIO_
nmrCV,http://nmrML.org/nmrCV#NMR:
PRIDE,http://purl.obolibrary.org/obo/PRIDE_
modl,https://archive.org/services/purl/purl/modular_ontology_design_library#
biolink,https://w3id.org/biolink/vocab/
biolink,https://w3id.org/biolink/vocab/
loinc,https://loinc.org/
HBA,https://purl.brain-bican.org/ontology/hbao/HBA_
MBA,https://purl.brain-bican.org/ontology/mbao/MBA_
DMBA,https://purl.brain-bican.org/ontology/dmbao/DMBA_
DHBA,https://purl.brain-bican.org/ontology/dhbao/DHBA_
PBA,https://purl.brain-bican.org/ontology/pbao/PBA_
XSMO,http://purl.obolibrary.org/obo/XSMO_
BCIO,http://humanbehaviourchange.org/ontology/BCIO_
BCIOR,http://humanbehaviourchange.org/ontology/BCIOR_
icd10who,https://icd.who.int/browse10/2019/en#/
GARD,http://purl.obolibrary.org/obo/GARD_
OMIM,https://omim.org/entry/
OMIMPS,https://www.omim.org/phenotypicSeries/PS
CHR,http://purl.obolibrary.org/obo/CHR_
OEO,http://openenergy-platform.org/ontology/oeo/OEO_
OEOX,http://openenergy-platform.org/ontology/oeo/OEOX_
envthes,http://vocabs.lter-europe.net/EnvThes/
omv,http://omv.ontoware.org/2005/05/
iadopt,https://w3id.org/iadopt/ont/
lternet.tema,https://vocab.lternet.edu/vocab/vocab/?tema=
webprotege,http://webprotege.stanford.edu/
GOLDTERMS,https://w3id.org/gold.path/
GOLDVOCAB,https://w3id.org/gold.vocab/
SDGIO,http://purl.unep.org/sdg/SDGIO_
